accession	name	priority	access	normalized_access_status	processed_status	processed_cohorts	primary_use	evidence_basis	next_action
Liu_DFCI_melanoma	Liu_NatMed_2019_melanoma	high	public_processed_via_TIGER	public	processed	PHS000452_LIU_LIKE_PRE	external,survival,melanoma_primary	TIGER Melanoma-phs000452 processed expression/clinical. Only Patient-like anti-PD1 rows are modeled as PHS000452_LIU_LIKE_PRE; IPI-like rows are excluded from the primary set until source/timepoint evidence is hardened.	Keep as available evidence and score only under predeclared train/test boundaries.
CBIO_LIU_DFCI_2019_PRE	Liu_DFCI_2019_cBioPortal_melanoma_antiPD1	high	public	public	processed	CBIO_LIU_DFCI_2019_PRE	external,melanoma_primary,source_crosscheck	Public cBioPortal Liu/DFCI Nat Med 2019 expression profile mel_dfci_2019_mrna_seq_tpm with 121 pretreatment anti-PD1 melanoma samples after cBioPortal API fetch. Use as an independent-source cross-check/replacement for TIGER phs000452; do not pool duplicate Liu-derived versions as separate validation evidence.	Keep as available evidence and score only under predeclared train/test boundaries.
CBIO_IATLAS_LIU_2019_PRE	Liu_iAtlas_2019_cBioPortal_melanoma_antiPD1	high	public	public	processed	CBIO_IATLAS_LIU_2019_PRE	source_crosscheck	iAtlas harmonized Liu cBioPortal profile shares source patients with Liu/DFCI and is not independent validation.	Keep as available evidence and score only under predeclared train/test boundaries.
CBIO_IATLAS_GIDE_2019_PRE	Gide_iAtlas_2019_cBioPortal_melanoma_ICB	high	public	public	processed	CBIO_IATLAS_GIDE_2019_PRE	source_crosscheck	cBioPortal/iAtlas Gide expression overlaps PRJEB23709 discovery data; use for source and response-label cross-check unless excluded from discovery and frozen before external evaluation.	Keep as available evidence and score only under predeclared train/test boundaries.
CBIO_IATLAS_RIAZ_2017_PRE	Riaz_iAtlas_2017_cBioPortal_melanoma_nivolumab	high	public	public	processed	CBIO_IATLAS_RIAZ_2017_PRE	source_crosscheck	cBioPortal/iAtlas Riaz expression overlaps GSE91061 discovery data; not independent external validation.	Keep as available evidence and score only under predeclared train/test boundaries.
CBIO_IATLAS_HUGO_2016_PRE	Hugo_iAtlas_2016_cBioPortal_melanoma_antiPD1	high	public	public	processed	CBIO_IATLAS_HUGO_2016_PRE	source_crosscheck	cBioPortal/iAtlas Hugo expression overlaps GSE78220 discovery data; not independent external validation.	Keep as available evidence and score only under predeclared train/test boundaries.
EGAS00001001552	Lee_Rizos_PD1_melanoma_EGA	high	EGA_ACCESS_RESTRICTED	controlled	not_processed	EGAS00001001552	external_candidate,melanoma_primary,mechanism	Lee/Rizos Nat Commun 2020 reports 53 pretreatment melanoma PD-1 tumor biopsies and 44 PRE RNA-seq tumors with CR/PR versus SD/PD response ROC analyses. RNA-seq data are in EGA study EGAS00001001552, dataset EGAD00001005738; do not substitute or fabricate expression data without approved access.	Request controlled access; do not create substitute expression data.
PRJEB23709	Gide_melanoma_ICB	high	public	public	processed	PRJEB23709_PD1_PRE,PRJEB23709_COMBO_PRE	external,survival,melanoma_primary	Processed expression obtained from TIGER immunotherapy download interface; PRE samples are split into anti-PD1 monotherapy and anti-PD1 plus anti-CTLA4 cohorts, with response labels cross-checked against Gide supplementary tables and ENA metadata.	Keep as available evidence and score only under predeclared train/test boundaries.
GSE91061	Riaz_antiPD1_melanoma	high	public	public	processed	GSE91061	discovery,internal,survival	Primary analysis uses pretreatment only; patient-level split required.	Keep as available evidence and score only under predeclared train/test boundaries.
GSE78220	Hugo_antiPD1_melanoma	high	public	public	processed	GSE78220	external	Classic IPRES-associated melanoma anti-PD1 cohort; small sample size.	Keep as available evidence and score only under predeclared train/test boundaries.
GSE115821	Auslander_IMPRES_melanoma	high	public	public	processed	GSE115821	external,baseline	Verify overlap with other studies before benchmark pooling.	Keep as available evidence and score only under predeclared train/test boundaries.
GSE168204	Du_pathway_signature_melanoma_antiPD1	high	public	public	processed	GSE168204	external,baseline	Use as pathway-signature comparator when processed data are available.	Keep as available evidence and score only under predeclared train/test boundaries.
GSE145996	JerbyArnon_or_related_melanoma_antiPD1	medium	public	public	processed	GSE145996	external	Verify RNA-seq subset and RECIST metadata from downloaded records.	Keep as available evidence and score only under predeclared train/test boundaries.
GSE93157	Prat_mixed_antiPD1_panel	medium	public	public	processed	GSE93157	external,pan_cancer	Use melanoma subset for melanoma external and full set for pan-cancer panel transfer.	Keep as available evidence and score only under predeclared train/test boundaries.
IMvigor210	IMvigor210_urothelial_atezolizumab	high	public_or_package_verify	public	not_processed	IMvigor210	pan_cancer,survival	Optional downloader if package/source is available.	Download and curate sample-level response metadata before modeling.
