comment_id	issue	status	evidence
R1.0	Contribution and claim proportionality	resolved	Abstract; Background; Discussion; Limitations
R1.1	Introduction density and novelty	resolved	Background final three paragraphs
R1.2	Outcome-dependent gene directions	resolved	Methods: EcoNiche-Opt module scores; Limitations
R1.3	Threshold and calibration provenance	resolved	Methods: LODO benchmark and statistical testing
R1.4	Fixed rescue coefficients	resolved	Methods: Training-locked biological-prior and lipid/PI3K pair rescue
R1.5	62-gene versus whole-transcriptome comparability	resolved	Methods: module scores; Results: locked panel; Discussion
R1.6	Per-cohort locked operating metrics	resolved	Results cohort table; locked_external_cohort_performance_with_ci.tsv
R1.7	AI disclosure, figure inputs, visual standardization	resolved	AI disclosure; BMC Source Data; figure_input_file_manifest.tsv; figure audit
R1.8	Structured equations in Methods	resolved	Methods Equations 1-12; revised DOCX equation objects
R1.9	Opaque model names	resolved	Methods optimizer ablation definitions; Results descriptive labels; Supplementary Table 12 label mapping
R1.10	Eight baseline signatures	resolved	Methods: Baseline signatures
R1.11	Dataset role/content and accession density	resolved	Methods registration; Results role labels; Supplementary Tables 1-5
R1.12	Numerical precision	resolved	Main text and revised Supplementary Information use three decimals
R1.13	Results and Discussion structure	resolved	All Results subsections use aim-analysis-result-takeaway openings; Discussion interpretation
R1.14	Self-contained figure legends	resolved	Figure legends 1-7 with n or explicit not-applicable statements
R1.15	Dedicated limitations	resolved	Discussion: Limitations
R2.1	Figure-panel/caption/text consistency	resolved	Figure legends; figure_caption_crosswalk.tsv
R2.2	Sequential supplementary citations	resolved	Automated first-citation audit
R2.3	AUROC mismatch	resolved	Corrected cohort mapping; supp_table_15_consistency_audit.tsv
R2.4	LODO confidence intervals	resolved	Expanded Supplementary Table 12 embedded in revised supplement
R3.1	Define locked external scoring	resolved	Abstract; Methods locked scoring
R3.2	Define ICB	resolved	First Abstract sentence
R3.3	Define edge class c	resolved	Methods Equation 4 text
R3.4	Clarify H_iq versus a_iq	resolved	Methods Equations 3-4
R3.5	Define F_i, alpha and beta	resolved	Methods Equation 5 text
R3.6a	Define theta	resolved	Methods optimizer
R3.6b	Explain objective weights	resolved	Methods optimizer; config/model_config.yml
R3.7	Move score equation to Methods	resolved	All equations in Methods; Results equation scan
